text,label
"Daniel Craig's first outing 007 was great. Rebooting a franchise can be a tricky thing to do especially a long running one like the James Bond Franchise but with its tough, gritty, and more realistic tone, Daniel Craig comes in and knocks it out of the park and it's understandable why Casino Royale is one of the best in the Franchise.",positive
Overrated! Craig is a misfit for the traditional 007,negative
"Casino Royale is a masterpiece and it is still Daniel Craig's best Bond movie to date, with the only real competition being Skyfall IMO. Daniel Craig's performance as Bond in this movie was absolutely amazing, you know he is great when he overshadows Mads Mikkelsen, who also was amazing in this movie. The action is top notch, along with the storyline and the writing. Overall, Casino Royale is an amazing movie and it's my personal favourite Bond movie ever made.",positive
"Ah yes, The Bourne Identity one. This may borrow certainly from the Bourne movies, but it improves upon them and writing wise, it adapts from the book (Casino Royale) faithfully. This is one of the more serious entries and I absolutely love that. The action is shot coherently and the shots are held just long enough for us to see what is happening. The set pieces themselves are among the best in the franchise and this one film has a few of them. They are all great. Daniel Craig is fantastic in the role. Not my favourite bond, not even in my top 3, but he's still really good. All of the official actors that played the character brought something to the role that none of the other do quite as well. Craig has the best run. He just does. I hadn't notice before, and thought he only started doing this in his later films, but he mutters here. It is a negative, I am unable to sometimes make out what he was saying if not for watching with subtitles. Vesper is a fantastic Bond girl, but if there were any negatives I have for this otherwise masterpiece it is that Bond falling for her felt a bit forced. Not too forced, in the end, it still is believable, I just needed a bit more time with them together is all for it to fully 100% connect with me.",positive
"A fun movie, though I feel like the Daniel Craig series takes itself too seriously sometimes. This is certainly the start of it. The action scenes were great of course.",negative
My favorite Bond film and one of my all-time favorite movies ever!,positive
"Casino Royale is a 4-star 100 minute movie stretched out to a painfully long 160 minutes, and that's a shame. The story is pretty good, the villains, while not memorable, are certainly intimidating, the action scenes are solid and the movie's technical merits are quite good. While it certainly got tiresome after a while, Craig's more realistic and Anti-Fun Loving take on Bond certainly helps make this movie feel like an entirely different beast than those from before, and one that you could genuinely take seriously. Craig's performance is a strong dramatic one, and he does have the gravitas required to carry a movie with this dark and aggressive of a tone. The main problem with the movie is that it just feels endless; I remember watching this in numerous 30 minute chunks and even then I was feeling the weight of it. If you like a more serious tone with your Action movie, then Casino Royale is certainly going to deliver - it's not as ambitious as Batman Begins, the movie that it clearly took inspiration from (that being the ""Gritty Reboot"" of a franchise), but it's certainly good at what it does, for the most part.",negative
This movie may have saved the Bond Franchise!,positive
Critic is always a personal point of view. And in my opinion all Craig´s 007 movies are just generic action boring movies that uses James Bond brand for market reasons.,negative
A fresh new take on the James Bond films. Action film with many surprises and plot twists. And many would-be predictable moments don't go as you'd think. Loved this move!,positive
"Utilizing Martin Campbell's gift for directing practical action scenes and Daniel Craig's gift for a brutal yet suave performance, Casino Royale tops the Bond legacy and delivers one of the best modern action flicks.",positive
"The best Bond movie ever made in my opinion. Everything here just works so well - Daniel Craig's introduction as James Bond is just so badass; Mads Mikkelsen's villain is desperate and terrifying, the action is well-shot and heart pumping; and Chris Cornell's ""You Know My Name"" is a fantastic Bond song.",positive
"The best Bond movie of all time, and shows Daniel is the best Bond as well. Cinema at its finest.",positive
"This is not one of my favorite bond movies. Casino Royale is the most overrated Bond movie ever. Though I do think it's a good movie. Daniel Craig is excellent as James Bond. Eva Green is great in the movie, and she's the 2nd hottest woman in a Bond movie behind Denise Richards. Great acting and some good action sequences, But the story is very slow-paced and the way things need to happen is a little bland, and even the ending has problems involving character decisions. Plus they changed a lot of things from all the other Bond movies which they really shouldn't have done. Overrall, I like Casino Royale. But it's nowhere near as good as people make it out to be.",negative
The rest of the world loves this film. None of it works for me.,negative
"Bad story telling, unlikeable characters, weak and over-the-top actions scenes, blue steel all the way, long boring poker scenes, unrealistic plot lines.",negative
"Exhilarating, fresh, serious, intense, and Daniel Craig delivers a performance for the ages, not just as James Bond, but a cinematic legend is born. If you prefer the campy, gadget-ridden, melodramatic and unbelievable Bonds of the past, this is not the Bond for you. This Bond is human (he hurts, he bleeds, he loves, and he has chosen to live the life of an assassin to serve his country. Nothing comes before duty for this 007. Unlike many of the out of shape, or average physique Bonds of the past, Craig's Bond looks and captures the physicality of a man that can kill with his bare hands. The movie's opening let's you know that this 007 is ice cold, as he becomes a 007. The pacing is perfect, the best poker game in cinema history, and a love story that will engross and capture the audiences emotion. Action set pieces are among the best (and are the best imo). If there is such a thing as the perfect Bond film, this is it. And no one does it better (past, present or future) than the incomparable Daniel Craig.",positive
"For being a new start for this generation, gets all the parameters of a great action film, when you feel that it's getting common, has a great plot twist which gift more development to James Bond and getting so enveloping and interesting.",positive
Fun movie and I loved the character of Vesper but has an underwhelming ending and overall it didn't blow me away like I wanted it to. But it was solid.,negative
"[⭐️90%] Casino Royale (2006) takes a franchise which was running on fumes and breathes new life into it thanks to lead Daniel Craig as well as a more serious tone, whilst still maintaining all the necessary details to associate it with previous James Bond entries. Mads Mikkelsen makes for a fantastic villain to introduce to this revived franchise, seriously setting big ambitions. While it may not be the first film to come to mind when somebody mentions James Bond due to its freshness away from the campiness of the classics, it certainly is one of the best constructed spy movies to date.",positive
"Contains by far the second sexiest flirt scene on a train (here's looking at you, Eve Kendall). Contains by far the best cock and ball torture scene in cinematic history. One sympathizes. Contains by far the best parkour chase this side of Jason Bourne. Contains by far the best poker tournament outside of that portrait with the 'eccin dogs. Bond Begins is a blast.",positive
5.0/5.0 A Masterpiece,positive
Very refreshing to watch given some of the silly Bond movies that came before. The action is amazing and Daniel Craig as James Bond is a gift.,positive
"Bond, but not as we know him. Not a bad start for the new phase.",negative
"The 'Blonde Bond' proves the world wrong in his first outing: top-notch action, a more-than-memorable villain and a glorious Bond girl. What a great reinvention of the franchise that seemed dead and buried just four years earlier.",positive
My favorite Bond movie with my favorite actor as James Bond!,positive
Great movie. One of the best in the series after the absurdities of Die Another Day.,positive
Movie holds up and a great way to begin DC Bond portrayal,positive
"Bond has always been—and very much remains, fanboi protestations aside—a descriptive cipher of masculinity; and whereas so many of the earlier entries unwittingly but authentically lampoon the overblown absurdity inherent to a particular kind of manliness, what I personally find disengaging about the Craig films is how seriously (and thus falsely) they treat masculinity. In a post-9/11 era, when imperial might has been politically castrated, when the seeming seamlessness of technological advancement gives the lie of a smooth realism, Bond in turn must be castrated at every turn. Don't mistake me: I don't mean to long nostalgically for some mythical manliness, only that the earnest grit and saturation of this version is just as structurally masculine without any subversive or performative winks, a turn that is more prescriptive and authoritarian (just like the rest of the contemporary West).",positive
"My favorite of the Daniel Craig Movies.. It's got action, it's very emotional and it sets the bar high for the 007 Movies that follow it. Highly recommend it.",positive
real good movie i did like it from start to finish,positive
"With this being a sort of reboot to the james bond franchise. Giving it more of a serious tone than the previous instalments. Casino Royal is definitely one of the better Bond films in the franchise. Daniel Craigs performance as the double-o spy is great and gives Bond his same charm but as well clever traits, as well as emotion. The stunts and action scenes are great, and every threat to bonds life keeps you on the edge of your seat. I would recommend giving this one a watch, especially those who were more of fans of Connery's work.",positive
"Rating: A- ""Casino Royale is a near-perfect debut of Daniel Craig as the new James Bond. This brutal version of the famous protagonist is beautifully interpreted by Craig, who contradicted the naysayers at the time of release and delivers a phenomenal performance as the iconic 007. His witty humor, irresistible charm, and excellent line deliveries find a close match in Eva Green's take of the ""Bond girl"", whose intelligence and strong attitude puts aside any generic, formulaic traits. Mads Mikkelsen is outstanding as always as the vulnerable antagonist, but his impact on the overall picture is slightly underwhelming. The action set pieces are worthy of belonging to blockbusters of today, holding impressive stunt work and cinematography. Martin Campbell creates one of those films I can't pinpoint any flaws. Bond fans will feel delighted.""",positive
"Casino Royale is such a big disappointment when it comes to an extensive action flick as the film loses itself in various aspects of the film. The major problem with this movie is that the PG-13 rating is holding it back. Several components needed the R rating so it would feel more fleshed out. One of those features being the story. While the story isn't entirely in disharmony, it is not sufficient for a movie that runs over the 120-minute mark. The simplistic plot drags on for too long with so many sluggish scenes. For instance, the poker scene goes on way longer than it should have. The filmmakers knew this, as the awkwardly positioned heart attack scene diminishes the sequence as a whole. Furthermore, the tone of the movie is just off in general. The film tries to be this edgy spy thriller but never gets close to it with this PG-13 rating. The identity of this film is similarly off as it does not feel like a spy movie. The basic plot is moderately decent, but it doesn't warrant an approximately 150-minute runtime. There are numerous scenes in the film where it feels like Martin Campbell is trying to make a narrative that James Bond is this top-notch agent who has the cockiness that everyone loves. Yet, it is never thoroughly achieved in Campbell's vision. The closest the film ever gets to feeling like a spy movie is the opening scene. It is simplistic yet has this sophistication with the black and white filter and that gruesome fight. From that point on, the film loses the spy aspect throughout the rest of the movie. The saving grace of Casino Royale is the cast. Daniel Craig does a substantial job at portraying James Bond, and it feels like he is putting his own essence into the role, so Craig is not playing a typical spy. While Vesper's story was poor, Eva Green does a solid job in the film. Mads Mikkelsen is the most ineffective in the cast as he does very little trying to stand out in the ensemble. His character arc is not well-constructed, and Mikkelsen does not fix it with his performance. As for Jeffrey Wright and Judi Dench, they were excellent in this film. Both added some much-needed variety to the action flick. Before wrapping it up, the last feature of the film that was deeply hard to look at was the visual effects. The visual effects were not the best as some scenes contained visual effects that would be inadequate for anyone watching the movie. Yes, the movie came out in 2006. However, plenty of films had excellent visual effects and CGI that had releases dates before this movie. Casino Royale is a consequential, jumbled mess that runs on for too long as it tries to make a simple story complex. With the R rating holding the film back, Martin Campbell's vision never reaches its ample capacity. The acting is the only feature saving this movie from the tedious mess that it is. A supposed energetic action-thriller is actually an undeveloped snoozefest. Read more reviews like this at postcreditreviews.com",negative
"One of my favorites, rough and unrefined",positive
Absolutely fantastic movie. A standard for how to make awesome engaging Spy/action thrillers,positive
"Casino Royale was the return of James Bond after several years since the last one and brought Daniel Craig as the James Bond of the 21st century at least the early part. James Bond is easily one of the most iconic characters in movie history and the longest running franchise of a British spy working for MI6 who faces numerous dangerous villains around the world. Daniel Craig is James Bond in this one and he is incredible bringing the bravado, machismo, suave looks and his appetite for women that we know from Bond. Alongside him is veteran British actress Dame Judy Dench who returns as M from the pierce brosnan franchise. Mrs Dench is exquisite as a no nonsense lady who cares about Bond and sees him as her best agent but is constantly frustrated by his arrogance and theatrics. Mads Milkensen as the villain is good here but quite underwhelmed for a bond villain yet the torture scene with Craig truly brings the sadism that Milkensen brings to his villainous roles. The script is well written and weaves a story of intrigue, trilling action, government spying and crime fighting and sexy moments that make this film a sophisticated action film of a kind that we no longer see from Hollywood sadly and began Craig's journey as James Bond.",positive
The best in bond series. Good that they brought Martin Campbell back. Probably the best bond after Connery.,positive
one of the best Bond movies,positive
Absolutely pure excitement film.,positive
it was a very good movie,positive
My favourite of the Bond movies.,positive
Too much plot armor and casual unpunished murder.,negative
"As it comes to mind where the narrative continuations for multiple movies at risk of downscaling were confidently inspired as aspirations were triggered by James Bond's nonsensical canonship, including this genuinely apparent restart that formally introduces the double-o agent to a younger, thrill-seeking generation. This isn't your ordinary action flick you come to expect as it's pretty much the definitive spy film having a classier benchmark in the genre with action-packed spectacle being recognizably thrilling in addition to captivating confrontations when under the radar. Intellectually directed and written to boost start the supposably early flare seemingly embodied by Craig's suitable performance of building up Bond's experience that brightened his stardom, but the film seems to be better enjoyed by those who were repeatedly captivated after each film of the long-running franchise of cinematic maintenance based on literature. Engaging entertainment though with thrilling action pieces and intelligence, just not enough to persuade to go back and forward. (B+)",positive
My favorite movie of all time,positive
"Austin Powers destroyed the old James Bond franchise by taking most of the elements of the classic James Bond films and amplifying them just enough to make them absolutely hilarious. In order to set itself apart from that era, Casino Royal marks a significant departure from the traditional approach to a Bond film, reinventing Bond in a way that is much closer to the character described by Ian Fleming in his original books. Daniel Craig drew significant criticism when it was announced he would replace Pierce Brosnan as James Bond, but from the opening scenes of Casino Royale it becomes clear why he was the right choice. Craig's Bond is gritty, tough and brutal - the sort of characteristics you might expect from an authorised killer. Gone are the pithy one-liners and silly gadgets. This Bond gets his hands dirty with much more violent hand-to-hand combat than his predecessors. The choice of black and white for the opening sequence is clever: it is a nod to the classic spy films of the 1960s, like The Spy Who Came in from the Cold, as well as to underscore to the viewer that this will be a very different Bond film. Martin Campbell's direction is more cinematic than the previous Bond films, with lots of sweeping camera moves and pacy editing that fits the action. Eva Green is excellent as the smart, self-assured British treasury employee Vespa Lynd, another departure from Bond traditions in terms of the stereotypical Bond girl. Casino Royale is so different that is easy to forget this is a Bond film, but Judi Dench plays a crucial role in grounding the film within the Bond franchise, returning as the smart, authoritative MI6 chief ""M"". The storyline is initially hard to follow, particularly in the first act, but becomes clear as the film progresses. There are some great action sequences and enough intrigue to keep your attention right until the end of the film.",positive
12.08.2021 ---------,negative
Pretty good action and suspense. Better than earlier Bond movies as some of the sexist attitude is gone.,negative
It's hard to find fault with Daniel Craig's 1st outing as Bond....brilliant stunts a great villain and a great story,positive
Daniel Craig gives us the old school grit that Sean Connery did in the late 60's. Bond is back and he's a lot more violent too.,positive
This is the Bond film I always wanted.,positive
"I just adore Casino Royale. Daniel Craig is absolutely excellent as Bond and can deliver so much emotion especially during the torture scene and I love his chemistry with Eva Green's Vesper. Their romance is overall really well developed and I enjoy their interactions especially the train scene where they learn about each other and this movie has amazing stunt work and action scenes: the opening chase, the airport fight, the stairway fight and the final fight scene and the CGI when used is incredible and I love the dark and gritty tone of the movie, it made me feel really invested in this dark and serious story and it's balanced well with the lighter elements. The movie is a bit too long though. The poker scene drag on a lot and as someone who doesn't understand poker, it made it even worse and it just felt weird to progress from Bond being tortured to Bond and Vesper making out a lot. They definitely could've handled the tone better in the third act. Plus, it's just another movie about terrorists wanting to bomb things but regardless it's well acted, well directed with an intense story and great action (A)",positive
"More of a reinvention than an individual pillar of achievement. The romance is given too much in proportion to other events, but still a nice diversion.",negative
"A well done, much darker take on the infamous character that takes away all the silliness of the previous films and adds more complexity and depth to the story",positive
"It is a good James Bond movie. Good action scenes, plot and everything but it doesn't innovate. It wins with the suspense and the energy that it gives to the viewer. A great entertainment, but it not a great film. Just good.",negative
"Really brilliant movie. Action packed, dramatic, emotional. A bit too much romance but that's just my weird dislike of film romance, not in any way a fault of the movie.",positive
Very much one of the better Bond movies. The showing of blood makes it much better than most other Bond movies anyway. Daniel Craig is my favorite Bond. Eva Green was a good choice for the love interest and they have great chemistry together.,positive
Daniel Craig fully satisfies as an extremely dominant seductive middle-aged James Bond that doesn't even the distract its divisive rich setting,positive
"The first movie in the Daniel Craig series: Casino Royale. This movie is incredible, from start to finish. Daniel Craig gives an amazing performance and it really has you on the edge of your seat during the poker games. Overall it gets a 4.5/5 from me",positive
"Good opening, good scenes (especially the ones in the casino), good ending.",positive
"One of, if not my favourite Bond film. This film was a massive breath of fresh air for a franchise that was getting extremely tired and was devolving into self-parody. From the overly campy and over-the-top nonsense that was Die Another Day (2002), a serious reboot was needed. In Casino Royale we were provided the perfect antidote to the stale silliness we had been served up for years on end. We get a much darker and grittier incarnation of 007 here that is much closer in keeping with the original source material. In the spirit of a great reboot and reset of the series, everything is stripped back to the bone here. Bond is on his first assignment as a 00, there's no fancy gadgets, and the violence is visceral and up close as opposed to detached and almost meaningless in earlier films. Bond is also more emotionally vulnerable here, we see some of that remaining humanity he has inside before it is all stripped away by the end of the film. We see the formation of a cold and ruthless instrument of the government right before our eyes. Chris Cornell's 'You Know My Name' has to be one of the strongest Bond themes and I love how musical motifs from the main song are used throughout the film. My only problem with this film is that it's slightly too long, with the last part of the film feeling separate from the rest. It certainly lulls toward the end which is a shame.",positive
I still enjoyed this amazing James Bond 007 classic!!!!!!!!!!!!!!!!!!!!!!!!!,positive
"Remarkably average. The dialogue is pretty bad at a lot of points in my opinion, maybe it's just the writers trying to stick closer to the bond likeness but it just comes off as choppy and not realistic to the way anyone talks. There are points in the poker scenes where the dialogue is just them explaining how poker works and what the current bet is. I have no issue with the quippy remarks that aren't necessarily realistic, that's just part of the bond charm. I take issue with normal conversations being awful for the sake of trying to pay homage to the originals. With that being said the action scenes and the story are what shine here. They do a great job of telling a bond story with twists and turns while keeping it interesting. The cinematography is decent and the score is great. If you like bond films you'll like this otherwise it's just an okay movie.",negative
"My brother loves watching every single 007 movie since he has little. I have been along for the ride ever since. One thing about this movie, CASINO ROYALE, is that it shows James Bond not only in his prime, but as a person that is willing to get the job done.",positive
"With mind-blowing action, subtle intelligence, and just enough characterization, Daniel Craig's revision of the suave British spy is part of the bigger mix of more serious and bolder Bond filmmaking, though I couldn't help but notice that some silly logic seeps through anyway.",positive
"""Casino Royale"" is undeniably the best Bond film to date. Martin Campbell made a gorgeous looking film with fantastic scenes filled with action, suspense, and mystery. Daniel Craig is prefect for the role of 007 and honestly, how many movies can make a card game interesting?",positive
"What do you do when you have a successful film franchise that is teetering with its fans? Reboot. For the first time a new Bond comes with a complete overhaul of the series and we are reintroduced to James Bond all over again. At first I questioned why the producers went so far away from the typical elements Bond films usually had but today I call it one of the most successful gambles in Hollywood history. Daniel Craig is a grittier and physical Bond than we have ever seen and his approach works for today's action lover. While they didn't throw away every aspect we find in a Bond film, it certainly feels like a brand new series with Craig's introduction. Villain A- / Bond Girl A- / Theme B",positive
My fav yet. Chemistry between Bond & Vesper is amazing.,positive
Why is he so serious all the time? Is he a robot? Is he the terminator? Why does he always look so bored?,negative
"Everything about this movies was great, except for a few of the fight scene. Typical Hollywood shaky cam shots when there is action. It’s always hard to understand was going on when that happens.",positive
A fun James Bond action movie,positive
"I have seen every Bond Film to date.  For me I feel there are two genuine candidates for the type of Bond that is grounded a little more in reality, and, compelling to watch from beginning to end. That honour goes to Timothy Dalton and Daniel Craig. Sean Connery was exceptional in the role from the early 1960's but these films are very much of their time.  ""Casino Royal"" takes the Bond premise and redefines the character. Like Timothy Dalton's more dark edgy Bond, Daniel Craig also removes the silliness of the previous few films and relies on the man to the job rather than ridiculous gadgetry. I much prefer the darker, grounded element both these actors brought to the role of James Bond.  ""Casino Royal"" takes us on a character building journey. How Bond becomes the agent he  aspires to be. The mistakes made , the lessons learnt and the emotions felt are all explored in this brilliant story. It also has one of the best villains in Le Chiffre (  Mads Mikkelsen ) and Daniel Craig is magnificent in his first outing as Bond.  The title song ""You know my name"" performed by Chris Cornell sets the mood and tone of the film as a gritty , dark  cinematic experience to come. This shows the thought process and detail the filmmakers went into when redefining the franchise.   Overall ""Casino Royal"" is the place to start for newcomers to the world of James Bond  without having to look back. The 1970's and 1990's were not the best time periods for the franchise as the agent seemed to enter a world of slapstick and almost superhero gadgetry. The gritty, dark, more grounded  Bond, played by Timothy Dalton in the 1980's, was undermined somewhat by his successor in the role,  particularly in the last two of the Pierce Brosnan films.  Therefore in conclusion, ""Casino Royal"" is a far superior James Bond film than anything previous and sets the bar very high for further entries into the franchise.",positive
"The filmmakers offer us a masterclass in action scenes in this well crafted reinvention of the unstoppable force that is 007. With a great cast to back him up, the series has probably never felt so real, but still keeping the intensity and heart of what the franchise is about.",positive
Daniel Craig brings a darker and more grittier Bond film with great performances and thrilling action. This is a premier action film that is one of the series' best.,positive
One of the best movies of all time. Has everything,positive
He's definitely my favorite bond!,positive
"The best Bond film to date, featuring a brilliant performance from Daniel Craig, blistering edge-of-the-seat action, a classic Bond score, and a new story that gives Bond fans a breath of fresh air.",positive
"This movie kicked so much arse right from the beginning. Absolutely among the best Bond films ever, smart, funny, sick action, great banter and DC is the GOAT Bond.",positive
Film molto bello però perde per la parte finale troppo allungata,negative
I love the bond films but cant get with the blue eye blond bond,negative
"Only Skyfall does this good in Craig's career as Bond. Craig comes out swinging and knocks the role right out of the park! Great opening theme, great villain, high stakes, directional drama, and genius directing and action!",positive
What an amazing way to introduce Daniel Craig as the New James Bond. Really does transcend the franchise to much bigger and better heights.,positive
Just about as close to a perfect modern Bond film as you can get.,positive
"James Bond is Daniel Craig, and he shows us that in this great storyline fit for a Bond film.",positive
Amazing James Bond movie even though it is Craig's first time as Bond.,positive
"Action, great. Story, great. Daniel Craig, great. Movie, amazing! Loved everything about this movie.",positive
"After the dumpster fire that was 2002's Die Another Day, Casino Royale is beyond a breath of fresh air. Daniel Craig reinvents the character, bringing and building upon a vulnerability to Bond not seen since Lazenby. The film is the antithesis of its predecessor, clicking from beginning to end (the theme for Casino Royale, the late Chris Cornell's ""You Know My Name,"" is arguably the single greatest Bond theme of all time). We see here quite literally a new Bond, as the film reboots the franchise, and shows a more rough around the edges 007, who has only recently received his 00 status. We also see a Bond who has difficulty keeping his emotions in check, developing genuine feelings for the women he becomes involved with on the job, particularly the beautiful and tragic Vesper Lynd. Action-packed, dramatic, and high-stakes, Daniel Craig's first foray as Bond returns the series to a glory not seen since Connery's heyday.",positive
Daniel Craig stars in the rebooted James Bond series as a more mature and grittier main character. With feelings that sparked emotion and action with tense pay-off. Something critics and audiences can find enjoyment even if not familiar with the lore.,positive
Absolutely incredible movie (don't gamble kids),positive
A fantastic movie that is filled with action. Daniel Craig is brilliant In his first outing as bond.This movie is not just a great James Bond film but a great movie in general. Although the film can feel long at some points and the CJI and green screens do not hold up that good.,positive
Daniel Craig breathes new life into James Bond and gives the character a whole new layer of depth and authenticity that we’ve never seen before. Very impressive performance and storyline. One of the standouts of the franchise.,positive
"An edgy, more believable and intense Bond, just what the doctor ordered.",positive
This is a Bond film where each kill has weight.,positive
Great movie to start off the Bond series,positive
smelly fish is the word for this movie,positive
"""Royal flush wins"" ... man when I first saw that poker scene, it was dumbfounding. The build up to it, the scenery, the colors ... it was very sweet. Daniel Craig's first attempt at 007 is captured quite well and he shows us both the hardcore and the soft side of being one of the most dangerous agents on the planet.",positive
One of the best movies of the 007 franchise. Impeccable performances and incredible action scenes are present in this movie.I highly recommend.,positive
"La pelicula Abarca una trama apasionante, de la accion al drama al romance, es la mejor pelicula del ultimo 007 impresionante",positive
Best Bond movie. Change my mind,positive
"I really like this movie! Daniel Craig is definitely a more grounded and realistic Bond, which is exactly what makes this movie so entertaining. Eva Green has amazing chemistry with the leading man and Mads Mikkelsen is a pretty good villain. The action sequences are spectacular and some of the technical achievements are quite remarkable. This movie may not be Oscar-worthy, but its gritty take on the iconic character is enough to keep viewers engrossed and amazed.",positive
"Personally my favourite of the entire series, bringing Bond back to his routes, ditching the over the top gadgetry. Emotional exciting storytelling, Le Chiffre a fantastic villain, the gambling scenes are truly suspenseful, the action realistic and perilous. Eva Green is easily up there with Diana Rigg, tied for the most three dimensional Bond girl whose character you grow to care for.",positive
"Nothing new, just removed superhero tag from James Bond while still maintaining some of his charisma, though direction is superb, content is rich and infallibility of main character lesser.",positive
"So fantastic, and it sets the tone for the Craig Bond films.",positive
"I may have been a little too harsh on Casino Royale when it first came out. Watching it over a decade later, this movie holds up better than many previous James Bond installments. The story is solid, the action is thrilling, and even though it's grounded in realism, it has just enough playfulness to feel like a Bond film. Daniel Craig may not be my favorite 007, but the movie surrounding him is very well done.",positive
"I may be very late to this party, and this is the first Bond film I've ever seen so I have no point of reference, howe we, this is a fantastic action film. The story is smart and remains interesting from start to finish, never making it clear what will happen next. It works very well as an origin story for James Bond that has him making mistakes and being too quick to make rash decisions. All of which makes for a much better and more fascinating observation of his character. Daniel Craig is amazing as he's been in just about every movie I've seen him in. He plays the stone cold killer side of Bond as well as the human side very well, showing no matter what he does he is still just a man. The love story isn't forced and really has a place in the story without overwhelming it. The action is just great, and not overused so to take over the movie but instead spread out to make the dramatic scenes more impactful and make for a complete narrative. All this to say, I loved it. One of the best modern action films hands down.",positive
"The names Craig....Daniel Craig. Craig IS 007!! Super charged testosterone popcorn movie with a great love story at its core. Craig and Mikkelsen together is a great combo, love Judi Dench as M.",negative
The best action movie ever for me,positive
Casino Royale is a astounding new way of James Bond where they tried to reboot and take a new approach to the James Bond series for a better and more straight storyline and they succeded. It starts with a rather unconventional first scene in black and white where he is getting his double 0 status. It manages it to give the viewer the progress of himself within the action scenes as he tries to become a better agent. The only problem I face are problems with the music as it is sometimes too silent.,positive
By far the best Bond movie and one of the best action movies of all time.,positive
"La película llega a ser algo cursi y con un realismo... ""dudoso"", pero la ambientación, los personajes, y todo el tema del casino la hacen una buena película, ademas tiene un gran opening",positive
Oh boy. You'd better believe I watched Casino Royale again. This movie is only my favorite Bond film of the Franchise. I will re-watch this film over and over again. I've seen so many videos analyzing it and each one just makes me want to watch this film again. It's so good. Highly enjoy it and I will watch it again.,positive
great suspenseful and action packed bond.,positive
The best Bond film since Goldfinger!,positive
Mads is excellent. Solid action flick.,negative
